tbpkid,batch,lc,prov,cnty,lc_prov,lc_cnty
133268,1409,LC160,61,610202,61,610103
133269,1409,LC337,37,371324,61,610113
133270,1409,LC005,61,612726,61,610800
133271,1409,LC159,43,430726,44,440303
133272,1409,LC010,61,610424,61,610400
133273,1409,LC340,35,350628,36,360900
133274,1409,LC340,35,350628,36,360900
133275,1409,LC340,35,350623,36,360900
133276,1409,LC333,41,411381,36,360100
133277,1409,LC340,35,350681,36,360900
133278,1409,LC334,61,610115,33,330326
133279,1409,LC057,34,341002,36,360100
133280,1409,LC200,37,370682,37,370600
133281,1409,LC337,15,152202,61,610113
133282,1409,LC333,35,350600,36,360100
133283,1409,LC010,61,610402,61,610400
133284,1409,LC028,53,532502,53,530100
133285,1409,LC339,36,362422,36,361100
133286,1409,LC160,61,610424,61,610103
133287,1409,LC330,61,610121,61,610113
133288,1409,LC353,33,331081,33,330104
133289,1409,LC200,37,372924,37,370600
133290,1409,LC033,61,612401,61,610900
133291,1409,LC345,36,360423,36,360400
133292,1409,LC006,61,610302,61,610300
133293,1409,LC340,35,350600,36,360900
133294,1409,LC340,35,350627,36,360900
133295,1409,LC334,61,610525,33,330326
133296,1409,LC340,35,350621,36,360900
133297,1409,LC334,61,610424,33,330326
133298,1409,LC160,44,440921,61,610103
133299,1409,LC340,35,350623,36,360900
133300,1409,LC333,35,350621,36,360100
133301,1409,LC333,35,350425,36,360100
133302,1409,LC333,35,350521,36,360100
133303,1409,LC028,53,532502,53,530100
133304,1409,LC344,33,330282,36,360100
133305,1409,LC344,33,330282,36,360100
133306,1409,LC160,61,610123,61,610103
133307,1409,LC160,61,610324,61,610103
133308,1409,LC345,34,342425,36,360400
133309,1409,LC160,61,610628,61,610103
133310,1409,LC115,31,310230,31,310106
133311,1409,LC115,34,342529,31,310106
133312,1409,LC160,37,372924,61,610103
133313,1409,LC022,33,330501,33,330100
133314,1409,LC334,61,610581,33,330326
133315,1409,LC331,33,330329,36,360700
133316,1409,LC016,43,432524,41,410100
133317,1409,LC341,33,330105,36,361100
133318,1409,LC022,33,330621,33,330100
133319,1409,LC342,61,610528,61,610104
133320,1409,LC033,61,612401,61,610900
133321,1409,LC009,61,610623,61,610600
133322,1409,LC340,44,445381,36,360900
133323,1409,LC340,35,350621,36,360900
133324,1409,LC340,32,320681,36,360900
133325,1409,LC340,35,350681,36,360900
133326,1409,LC163,43,432524,61,610113
133327,1409,LC340,35,350425,36,360900
133328,1409,LC333,41,411121,36,360100
133329,1409,LC337,61,610502,61,610113
133330,1409,LC016,34,340823,41,410100
133331,1409,LC116,61,612701,61,610800
133332,1409,LC160,61,612429,61,610103
133333,1409,LC343,61,610524,61,610582
133334,1409,LC116,61,612722,61,610800
133335,1409,LC333,36,360124,36,360100
133336,1409,LC334,61,610125,33,330326
133337,1409,LC334,61,612322,33,330326
133338,1409,LC004,61,610303,61,610300
133339,1409,LC004,61,610303,61,610300
133340,1409,LC328,34,340822,61,610104
133341,1409,LC160,61,610524,61,610103
133342,1409,LC160,61,610123,61,610103
133343,1409,LC160,61,610523,61,610103
133344,1409,LC022,33,332524,33,330100
133345,1409,LC001,61,612324,61,610103
133346,1409,LC159,61,610324,44,440303
133347,1409,LC057,44,440883,36,360100
133348,1409,LC282,62,620503,62,620500
133349,1409,LC338,51,511022,36,360100
133350,1409,LC327,61,610431,34,340100
133351,1409,LC357,41,412901,61,610113
133352,1409,LC357,61,610326,61,610113
133353,1409,LC325,43,430424,44,440600
133354,1409,LC200,37,370622,37,370600
133355,1409,LC345,32,320923,36,360400
133356,1409,LC334,61,612501,33,330326
133357,1409,LC340,36,362201,36,360900
133358,1409,LC322,44,445222,36,360300
133359,1409,LC022,36,362329,33,330100
133360,1409,LC199,36,362204,37,371500
133361,1409,LC345,31,310104,36,360400
133362,1409,LC160,61,612522,61,610103
133363,1409,LC112,61,610527,61,610500
133364,1409,LC334,61,610103,33,330326
133365,1409,LC334,65,652801,33,330326
133366,1409,LC057,34,342129,36,360100
133367,1409,LC345,33,332526,36,360400
133368,1409,LC200,37,370631,37,370600
133369,1409,LC200,37,370631,37,370600
133370,1409,LC200,37,370612,37,370600
133371,1409,LC004,61,610321,61,610300
133372,1409,LC341,44,440881,36,361100
133373,1409,LC160,61,610122,61,610103
133374,1409,LC160,61,610521,61,610103
133375,1409,LC328,61,610632,61,610104
133376,1409,LC200,37,370682,37,370600
133377,1409,LC056,62,620422,62,620100
133378,1409,LC327,37,372928,34,340100
133379,1409,LC344,33,330226,36,360100
133380,1409,LC116,61,612701,61,610800
133381,1409,LC160,61,612701,61,610103
133382,1409,LC160,61,610629,61,610103
133383,1409,LC116,61,612730,61,610800
133384,1409,LC160,61,610481,61,610103
133385,1409,LC160,61,610427,61,610103
133386,1409,LC116,61,612731,61,610800
133387,1409,LC334,61,610525,33,330326
133388,1409,LC160,61,610429,61,610103
133389,1409,LC337,61,610429,61,610113
133390,1409,LC160,61,610629,61,610103
133391,1409,LC016,41,412822,41,410100
133392,1409,LC112,61,610102,61,610500
133393,1409,LC339,44,440306,36,361100
133394,1409,LC331,44,441284,36,360700
133395,1409,LC160,41,411224,61,610103
133396,1409,LC160,61,610523,61,610103
133397,1409,LC331,44,440881,36,360700
133398,1409,LC160,61,610502,61,610103
133399,1409,LC331,44,441225,36,360700
133400,1409,LC160,62,622727,61,610103
133401,1409,LC339,41,410802,36,361100
133402,1409,LC115,34,342623,31,310106
133403,1409,LC115,32,320684,31,310106
133404,1409,LC341,33,330222,36,361100
133405,1409,LC028,53,533221,53,530100
133406,1409,LC116,61,612723,61,610800
133407,1409,LC199,37,371203,37,371500
133408,1409,LC001,13,130404,61,610103
133409,1409,LC200,37,370684,37,370600
133410,1409,LC328,61,610103,61,610104
133411,1409,LC334,41,411081,33,330326
133412,1409,LC345,45,452501,36,360400
133413,1409,LC116,61,612731,61,610800
133414,1409,LC200,37,370682,37,370600
133415,1409,LC113,37,372930,61,610400
133416,1409,LC001,61,610526,61,610103
133417,1409,LC160,51,513221,61,610103
133418,1409,LC345,36,362426,36,360400
133419,1409,LC199,34,342224,37,371500
133420,1409,LC022,33,332524,33,330100
133421,1409,LC022,33,332502,33,330100
133422,1409,LC200,37,370611,37,370600
133423,1409,LC056,62,620122,62,620100
133424,1409,LC116,62,620523,61,610800
133425,1409,LC334,61,610115,33,330326
133426,1409,LC004,61,610324,61,610300
133427,1409,LC340,36,362201,36,360900
133428,1409,LC339,41,410523,36,361100
133429,1409,LC334,61,612127,33,330326
133430,1409,LC115,31,310221,31,310106
133431,1409,LC115,31,310105,31,310106
133432,1409,LC115,33,330521,31,310106
133433,1409,LC115,35,350524,31,310106
133434,1409,LC115,35,350524,31,310106
133435,1409,LC115,35,350524,31,310106
133436,1409,LC115,31,310103,31,310106
133437,1409,LC115,31,310221,31,310106
133438,1409,LC115,34,341226,31,310106
133439,1409,LC115,31,310112,31,310106
133440,1409,LC115,35,350702,31,310106
133441,1409,LC115,32,320825,31,310106
133442,1409,LC115,31,310103,31,310106
133443,1409,LC115,32,321023,31,310106
133444,1409,LC115,31,310225,31,310106
133445,1409,LC115,31,310225,31,310106
133446,1409,LC115,31,310228,31,310106
133447,1409,LC115,31,310228,31,310106
133448,1409,LC115,31,310225,31,310106
133449,1409,LC115,31,310112,31,310106
133450,1409,LC115,31,310112,31,310106
133451,1409,LC115,31,310104,31,310106
133452,1409,LC115,31,310230,31,310106
133453,1409,LC200,41,411421,37,370600
133454,1409,LC160,61,610324,61,610103
133455,1409,LC115,31,310113,31,310106
133456,1409,LC115,31,310115,31,310106
133457,1409,LC115,32,321302,31,310106
133458,1409,LC115,61,612427,31,310106
133459,1409,LC115,31,310113,31,310106
133460,1409,LC115,33,332623,31,310106
133461,1409,LC115,31,310113,31,310106
133462,1409,LC115,31,310113,31,310106
133463,1409,LC115,32,320681,31,310106
133464,1409,LC115,51,511325,31,310106
133465,1409,LC115,31,310230,31,310106
133466,1409,LC115,31,310230,31,310106
133467,1409,LC160,61,610524,61,610103
133468,1409,LC115,36,360425,31,310106
133469,1409,LC115,31,310229,31,310106
133470,1409,LC115,31,310113,31,310106
133471,1409,LC160,61,610114,61,610103
133472,1409,LC115,41,412725,31,310106
133473,1409,LC115,41,412725,31,310106
133474,1409,LC115,31,310230,31,310106
133475,1409,LC115,61,612326,31,310106
133476,1409,LC115,31,310107,31,310106
133477,1409,LC115,34,342221,31,310106
133478,1409,LC115,31,310112,31,310106
133479,1409,LC115,61,610528,31,310106
133480,1409,LC115,31,310225,31,310106
133481,1409,LC115,32,320381,31,310106
133482,1409,LC115,31,310230,31,310106
133483,1409,LC199,37,371002,37,371500
133484,1409,LC160,61,610125,61,610103
133485,1409,LC048,36,360502,36,360500
133486,1409,LC016,41,411202,41,410100
133487,1409,LC330,61,610324,61,610113
133488,1409,LC057,44,440682,36,360100
133489,1409,LC031,13,130403,13,130400
133490,1409,LC160,61,610502,61,610103
133491,1409,LC005,61,612723,61,610800
133492,1409,LC160,15,150205,61,610103
133493,1409,LC002,61,612522,61,611000
133494,1409,LC327,34,341222,34,340100
133495,1409,LC327,34,340121,34,340100
133496,1409,LC004,61,610321,61,610300
133497,1409,LC004,61,610326,61,610300
133498,1409,LC004,61,610326,61,610300
133499,1409,LC160,61,610431,61,610103
133500,1409,LC004,61,610321,61,610300
133501,1409,LC325,52,520102,44,440600
133502,1409,LC200,37,370684,37,370600
133503,1409,LC004,61,610323,61,610300
133504,1409,LC056,62,620103,62,620100
133505,1409,LC353,33,330121,33,330104
133506,1409,LC340,42,421022,36,360900
133507,1409,LC344,36,360727,36,360100
133508,1409,LC337,61,610502,61,610113
133509,1409,LC338,44,440711,36,360100
133510,1409,LC016,36,362128,41,410100
133511,1409,LC282,62,622627,62,620500
133512,1409,LC346,36,362424,44,440304
133513,1409,LC160,61,610203,61,610103
133514,1409,LC160,61,612522,61,610103
133515,1409,LC057,33,330327,36,360100
133516,1409,LC115,31,310110,31,310106
133517,1409,LC115,31,310115,31,310106
133518,1409,LC115,65,652201,31,310106
133519,1409,LC115,21,211302,31,310106
133520,1409,LC115,31,310104,31,310106
133521,1409,LC115,31,310104,31,310106
133522,1409,LC115,36,360312,31,310106
133523,1409,LC115,31,310108,31,310106
133524,1409,LC115,35,352124,31,310106
133525,1409,LC115,35,350582,31,310106
133526,1409,LC115,35,350524,31,310106
133527,1409,LC112,61,610502,61,610500
133528,1409,LC165,13,130683,13,130100
133529,1409,LC200,37,370682,37,370600
133530,1409,LC115,31,310112,31,310106
133531,1409,LC091,61,612322,61,610700
133532,1409,LC165,13,130425,13,130100
133533,1409,LC200,37,370611,37,370600
133534,1409,LC023,33,330382,33,330200
133535,1409,LC347,61,610302,61,610300
133536,1409,LC346,35,352622,44,440304
133537,1409,LC165,13,130425,13,130100
133538,1409,LC091,61,612325,61,610700
133539,1409,LC346,43,430219,44,440304
133540,1409,LC160,61,612424,61,610103
133541,1409,LC340,35,350600,36,360900
133542,1409,LC340,35,350425,36,360900
133543,1409,LC340,35,350621,36,360900
133544,1409,LC160,61,610431,61,610103
133545,1409,LC333,41,411322,36,360100
133546,1409,LC340,35,350302,36,360900
133547,1409,LC160,61,612630,61,610103
133548,1409,LC160,61,612630,61,610103
133549,1409,LC160,61,610402,61,610103
133550,1409,LC333,35,350627,36,360100
133551,1409,LC333,35,350628,36,360100
133552,1409,LC160,61,610114,61,610103
133553,1409,LC022,36,360732,33,330100
133554,1409,LC329,61,610424,61,610400
133555,1409,LC005,61,612723,61,610800
133556,1409,LC200,37,370602,37,370600
133557,1409,LC115,31,310115,31,310106
133558,1409,LC337,61,612429,61,610113
133559,1409,LC028,53,532723,53,530100
133560,1409,LC010,61,610404,61,610400
133561,1409,LC057,43,430581,36,360100
133562,1409,LC346,52,522124,44,440304
133563,1409,LC200,37,371081,37,370600
133564,1409,LC282,62,620502,62,620500
133565,1409,LC330,61,610423,61,610113
133566,1409,LC282,62,620502,62,620500
133567,1409,LC116,61,610431,61,610800
133568,1409,LC331,36,360721,36,360700
133569,1409,LC344,44,440623,36,360100
133570,1409,LC344,44,440683,36,360100
133571,1409,LC112,61,610502,61,610500
133572,1409,LC282,62,620522,62,620500
133573,1409,LC334,22,220122,33,330326
133574,1409,LC160,65,659001,61,610103
133575,1409,LC322,33,330302,36,360300
133576,1409,LC334,61,610121,33,330326
133577,1409,LC160,62,622723,61,610103
133578,1409,LC334,61,610113,33,330326
133579,1409,LC353,33,330121,33,330104
133580,1409,LC160,61,610630,61,610103
133581,1409,LC160,61,610423,61,610103
133582,1409,LC334,61,610528,33,330326
133583,1409,LC344,33,330226,36,360100
133584,1409,LC160,61,610303,61,610103
133585,1409,LC353,33,330102,33,330104
133586,1409,LC334,61,610403,33,330326
133587,1409,LC329,61,610402,61,610400
133588,1409,LC334,61,610526,33,330326
133589,1409,LC160,61,610502,61,610103
133590,1409,LC334,61,610121,33,330326
133591,1409,LC160,61,610321,61,610103
133592,1409,LC349,62,620502,62,621100
133593,1409,LC160,61,610203,61,610103
133594,1409,LC160,61,610303,61,610103
133595,1409,LC009,61,612723,61,610600
133596,1409,LC334,61,610427,33,330326
133597,1409,LC200,37,370611,37,370600
133598,1409,LC091,61,612326,61,610700
133599,1409,LC345,34,342422,36,360400
133600,1409,LC334,51,510322,33,330326
133601,1409,LC115,31,310109,31,310106
133602,1409,LC322,43,430802,36,360300
133603,1409,LC031,13,130426,13,130400
133604,1409,LC334,62,620103,33,330326
133605,1409,LC160,62,620111,61,610103
133606,1409,LC344,44,440681,36,360100
133607,1409,LC282,62,622624,62,620500
133608,1409,LC033,61,612425,61,610900
